Commande_ID,Famille,Debut,Fin,Retard_H
118,H,2025-01-06 00:00:00,2025-01-06 06:00:00,0
52,H,2025-01-06 06:00:00,2025-01-06 12:00:00,0
250,H,2025-01-06 12:00:00,2025-01-06 18:00:00,0
235,H,2025-01-06 18:00:00,2025-01-07 00:00:00,0
160,H,2025-01-07 00:00:00,2025-01-07 06:00:00,0
251,H,2025-01-07 06:00:00,2025-01-07 12:00:00,0
234,H,2025-01-07 12:00:00,2025-01-07 18:00:00,0
249,H,2025-01-07 18:00:00,2025-01-08 00:00:00,0
236,E,2025-01-08 00:00:00,2025-01-08 01:00:00,0
343,E,2025-01-08 01:00:00,2025-01-08 02:00:00,0
183,E,2025-01-08 02:00:00,2025-01-08 03:00:00,0
170,E,2025-01-08 03:00:00,2025-01-08 04:00:00,0
258,E,2025-01-08 04:00:00,2025-01-08 05:00:00,0
4,N,2025-01-08 05:00:00,2025-01-08 06:00:00,0
2,N,2025-01-08 06:00:00,2025-01-08 07:00:00,0
1,N,2025-01-08 07:00:00,2025-01-08 08:00:00,0
3,N,2025-01-08 08:00:00,2025-01-08 09:00:00,0
0,N,2025-01-08 09:00:00,2025-01-08 10:00:00,0
5,N,2025-01-08 10:00:00,2025-01-08 11:00:00,0
28,P,2025-01-08 11:00:00,2025-01-08 12:00:00,0
216,H,2025-01-08 12:00:00,2025-01-08 13:00:00,0
10,E,2025-01-08 13:00:00,2025-01-08 14:00:00,0
172,E,2025-01-08 14:00:00,2025-01-08 15:00:00,0
208,P,2025-01-08 15:00:00,2025-01-08 16:00:00,0
9,E,2025-01-08 16:00:00,2025-01-08 17:00:00,0
209,P,2025-01-08 17:00:00,2025-01-08 18:00:00,0
359,E,2025-01-08 18:00:00,2025-01-08 19:00:00,0
150,P,2025-01-08 19:00:00,2025-01-08 20:00:00,0
122,P,2025-01-08 20:00:00,2025-01-08 21:00:00,0
173,E,2025-01-08 21:00:00,2025-01-08 22:00:00,0
124,E,2025-01-08 22:00:00,2025-01-08 23:00:00,0
206,H,2025-01-08 23:00:00,2025-01-09 00:00:00,0
171,E,2025-01-09 00:00:00,2025-01-09 01:00:00,0
110,P,2025-01-09 01:00:00,2025-01-09 02:00:00,0
352,E,2025-01-09 02:00:00,2025-01-09 03:00:00,0
217,P,2025-01-09 03:00:00,2025-01-09 04:00:00,0
243,H,2025-01-09 04:00:00,2025-01-09 05:00:00,0
111,P,2025-01-09 05:00:00,2025-01-09 06:00:00,0
107,E,2025-01-09 06:00:00,2025-01-09 07:00:00,0
121,H,2025-01-09 07:00:00,2025-01-09 08:00:00,0
127,E,2025-01-09 08:00:00,2025-01-09 09:00:00,0
103,H,2025-01-09 09:00:00,2025-01-09 10:00:00,0
11,E,2025-01-09 10:00:00,2025-01-09 11:00:00,0
207,P,2025-01-09 11:00:00,2025-01-09 12:00:00,0
321,H,2025-01-09 12:00:00,2025-01-09 13:00:00,0
218,P,2025-01-09 13:00:00,2025-01-09 14:00:00,0
112,P,2025-01-09 14:00:00,2025-01-09 15:00:00,0
244,E,2025-01-09 15:00:00,2025-01-09 16:00:00,0
113,E,2025-01-09 16:00:00,2025-01-09 17:00:00,0
13,A,2025-01-09 17:00:00,2025-01-10 00:00:00,0
12,A,2025-01-10 00:00:00,2025-01-10 02:00:00,0
324,E,2025-01-10 02:00:00,2025-01-10 03:00:00,0
337,E,2025-01-10 03:00:00,2025-01-10 04:00:00,0
463,E,2025-01-10 04:00:00,2025-01-10 05:00:00,0
485,E,2025-01-10 05:00:00,2025-01-10 06:00:00,0
344,E,2025-01-10 06:00:00,2025-01-10 07:00:00,0
379,E,2025-01-10 07:00:00,2025-01-10 08:00:00,0
6,E,2025-01-10 08:00:00,2025-01-10 09:00:00,0
446,E,2025-01-10 09:00:00,2025-01-10 10:00:00,0
427,E,2025-01-10 10:00:00,2025-01-10 11:00:00,0
365,E,2025-01-10 11:00:00,2025-01-10 12:00:00,0
269,E,2025-01-10 12:00:00,2025-01-10 13:00:00,0
389,E,2025-01-10 13:00:00,2025-01-10 14:00:00,0
475,E,2025-01-10 14:00:00,2025-01-10 15:00:00,0
7,E,2025-01-10 15:00:00,2025-01-10 16:00:00,0
8,E,2025-01-10 16:00:00,2025-01-10 17:00:00,0
279,F,2025-01-10 17:00:00,2025-01-11 13:00:00,0
131,P,2025-01-11 13:00:00,2025-01-11 23:00:00,0
143,P,2025-01-11 23:00:00,2025-01-12 09:00:00,0
155,P,2025-01-12 09:00:00,2025-01-12 19:00:00,0
